Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,EMA_20
2021-06-29,949.97412109375,959.6203929887992,948.2906059997632,950.7476377872767,27144063,996.6798095703126,935.3214221191406,41.96569876657592,978.5019649430212
2021-06-30,960.3711547851562,965.8312654969786,951.4529057551116,953.8189497184267,19762858,994.792593383789,937.2830407714844,46.171302427892364,976.7752211184626
2021-07-01,954.592529296875,966.0587979305755,953.2502184775107,963.715500911565,12534407,992.4259979248047,939.1340747070312,44.25186083554582,974.6625838021209
2021-07-02,968.7432861328125,970.4951021153942,952.3173409366497,954.1601447164786,14086620,991.2010986328125,941.2205139160156,49.75985489896927,974.0988411669487
2021-07-05,978.3668823242188,979.8911687487861,969.8581385815543,972.1104477919255,11702287,989.6208068847658,943.5180139160157,53.14997672971655,974.505321277165
2021-07-06,966.8095703125,977.775345876362,964.7165499262375,975.9780960314433,10070124,987.7528442382813,945.2805700683593,48.88384818571416,973.7723926138636
2021-07-07,960.09814453125,968.1518891821571,954.6152867923088,968.1518891821571,10454892,986.4471038818361,946.4482104492188,46.54733458734654,972.4700832726624
2021-07-08,952.1581420898438,963.2377120648708,946.880007204719,963.2377120648708,11185460,984.562991333008,947.3786083984376,43.87546540983777,970.5356126838225
2021-07-09,942.4208984375,951.7486525291566,940.1003484340649,950.0650773140198,9037675,981.3335418701172,947.8716748046875,40.783696380522656,967.8580208508395
2021-07-12,948.29052734375,956.207729408689,943.9223909587707,946.3111816946794,8585292,977.6752380371095,948.7501135253906,43.374055947607985,965.9944500406405
2021-07-13,955.3887329101562,956.9130192420056,950.0877909959721,955.525214607773,6717133,974.2558197021484,950.0919995117187,46.42612549140946,964.9843817424991
2021-07-14,949.1550903320312,958.6420731903104,946.9937689554591,955.6844881859736,8532544,971.3983459472656,951.6941760253907,44.17433984861424,963.4768301795974
2021-07-15,947.4943237304688,953.2502049164673,945.7425076403309,953.2502049164673,9448356,968.3656951904296,953.2313952636719,43.56804474157962,961.9546867082519
2021-07-16,961.1674194335938,962.2367066615387,949.8831264283724,949.951367281346,8828185,965.7891876220702,954.9432287597656,49.69026511898807,961.8797088725702
2021-07-19,955.0474853515625,966.4455126172754,951.9989126340373,955.525231478772,8354449,962.6427825927735,956.5258605957032,47.220914126169674,961.2290209181886
2021-07-20,952.7041015625,959.1653183707836,948.2450375383125,955.2976750301373,6741464,959.6408355712891,958.1119567871094,46.272675841795916,960.4171238366945
2021-07-22,964.9439697265625,966.4000152300578,954.683470529445,964.1704530749702,7972397,957.7149963378907,959.8798217773438,51.72547054585816,960.848252016682
2021-07-23,958.1187744140625,971.200376447822,956.4579462312084,971.200376447822,9937030,956.6275115966797,961.6925573730468,48.754091665516086,960.5883017688134
2021-07-26,944.99169921875,965.0804452589716,942.3753787545852,959.1653356602167,12389668,955.9995971679688,963.0237438964843,43.569935542153715,959.1029110497598
2021-07-27,935.0496215820312,948.1084764530683,929.1345122097594,944.9689160871274,10824523,955.2943237304688,963.9470581054688,40.092758518275964,956.8121215766428
2021-07-28,927.0186767578125,936.414671001328,917.4178997988275,936.414671001328,12897848,954.1465515136719,964.4594580078125,37.49002452814568,953.9746506415161
2021-07-29,934.25341796875,943.8769425785124,929.7715466212894,934.5946824013536,13765738,952.8406646728515,965.0340283203125,41.19366644408558,952.0964380060146
2021-07-30,926.0859985351562,940.9421040230186,924.1748936428288,936.4147387774315,11350608,951.4153381347656,965.5508996582032,38.42577627262397,949.6192532945042
2021-08-02,943.012451171875,946.1520117827725,928.7478263645152,934.7312372274596,10925104,950.1287963867188,966.2507727050781,46.45547498909452,948.99003404473
2021-08-03,949.9512939453125,951.4300863540562,939.2357958963441,950.9750871922383,11817299,948.7080169677736,967.2426843261719,49.37029334709284,949.0815826066903
2021-08-04,957.2315673828125,961.8954143261994,949.6100753022611,952.9771655453944,13169800,948.2291168212892,968.5842443847657,52.30404471359009,949.8577716329877
2021-08-05,971.1094360351562,980.4598768953389,957.4590392491626,962.0318984025091,21252078,948.7796813964844,970.1407873535157,57.37450196013614,951.8817396712894
2021-08-06,950.5428466796875,976.8880266163,945.8561927770681,969.1528000617284,16620987,948.6989166259765,971.2311328125,49.052121656002846,951.7542260530416
2021-08-09,945.128173828125,950.8841149123823,940.2822912594686,946.8799898333923,7494143,948.8342803955078,971.1367395019531,47.114462012275716,951.1231734601924
2021-08-10,950.0878295898438,961.4404233933778,943.581178728171,947.3350273362742,11919198,948.9241455078125,970.5475451660155,49.09790336647487,951.0245692820639
2021-08-11,963.3970336914062,964.6255496425972,947.9721328249349,954.1375197102308,9184963,949.324560546875,970.1465454101561,54.07542149772935,952.2028992258108
2021-08-12,960.3029174804688,967.4466034758628,957.8003316249841,966.8550623942889,8137612,949.8819519042969,969.3902941894531,52.78318503348336,952.9743295357782
2021-08-13,976.2965698242188,978.2304217625798,959.5976596459939,963.397002314041,12780901,951.3220642089844,968.8777368164062,58.326817843643,955.1954952775344
2021-08-16,988.9686279296875,1002.3914951366927,968.3338340297282,977.980105672493,21935444,952.7121246337891,968.7922839355468,62.121494624849795,958.411984101549
2021-08-17,984.759765625,994.2922421974579,977.2975624086582,986.8528461084586,12658169,954.197738647461,968.2880249023438,60.16200629241096,960.9212966275919
2021-08-18,988.5819091796875,995.0203194571639,979.4589373887336,989.1961972236583,10075860,955.9916290283204,967.9762866210938,61.354155322752256,963.5556406801725
2021-08-20,977.4796142578125,988.2861007519195,972.3607078932538,975.09076320503,9426282,956.6184112548829,967.8016198730469,56.10239451759074,964.8817334018524
2021-08-23,983.895263671875,989.1961455676026,970.2221199980743,989.1961455676026,9854395,957.9072357177736,967.6827172851563,58.3225075442184,966.6925458085213
2021-08-24,993.6097412109375,997.3863365967811,980.823849400721,985.1237449789751,11864472,960.338137817383,967.4147143554687,61.49779713758803,969.2560882277991
2021-08-25,1002.2095336914062,1010.1267969703356,991.9717803975888,994.383378575713,13380559,963.6961334228516,967.0297729492187,64.10496696959441,972.3945116052854
2021-08-26,1014.881591796875,1021.4565439234876,1003.3015280719944,1004.666585861122,18589616,968.0892791748047,966.8518627929687,67.58782510798389,976.4409001949606
2021-08-27,1013.4937133789062,1020.4782304762028,1008.3293734966592,1017.8618498448702,10480636,972.0512939453125,966.9956457519531,66.82307972161402,979.9697395458126
2021-08-30,1032.9910888671875,1035.539228921763,1017.7709708130757,1023.7771290070833,14027062,977.3965484619143,967.4925207519531,71.67227342391648,985.0193918621341
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885751,1036.016904489164,26485463,981.6201995849611,967.7882788085936,68.62218526645218,989.0637806021987
2021-09-01,1031.5577392578125,1043.2970916409213,1029.6922485674477,1034.2423608926047,11145486,985.700521850586,968.059921875,69.65096184408783,993.1108242836858
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770,990.037924194336,968.6846533203126,72.60186596730122,997.9554709478883
2021-09-03,1086.79638671875,1089.7539721580104,1047.665367387848,1051.0778919074535,30664428,995.8222717285156,970.351365966797,79.86806319345186,1006.4165105451133
2021-09-06,1103.67724609375,1128.4299004209945,1097.4889922462605,1097.944051619568,33641710,1003.4789916992188,972.8275415039063,81.90555879526775,1015.6794377402215
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882,1011.7545288085938,975.8893200683594,82.68389098492277,1024.7231975759742
2021-09-08,1106.29345703125,1116.5995103115172,1095.054658449374,1115.6895119598441,14301651,1019.5648101806642,979.0320874023438,80.36025531472048,1032.491793714572
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249,1026.5788208007814,982.1061499023439,78.9222243710856,1039.271360607827
2021-09-13,1079.0838623046875,1107.0443192185294,1077.4913349676583,1107.0443192185294,16311160,1032.5178680419924,984.4804040527345,66.81767805237325,1043.0630274360994
2021-09-14,1077.67333984375,1089.2988378614205,1076.5584984650136,1080.6536720322044,8908356,1037.5867065429688,986.9420202636718,66.19064245277,1046.3592476653996
2021-09-15,1082.155029296875,1090.0949179081745,1077.695905241629,1077.695905241629,9071075,1042.2460266113283,989.2102551269533,67.24250253004688,1049.7683697255402
2021-09-16,1104.8602294921875,1108.7505599524602,1077.0135078740498,1083.633953919053,13448882,1048.2510498046877,991.7401220703125,71.9959636438624,1055.0152135128399
2021-09-17,1087.72900390625,1117.441336518829,1080.9265822690465,1112.9594649804742,34882133,1053.2084045410156,994.1585107421876,64.40234641716197,1058.1308125979265
2021-09-20,1089.4581298828125,1100.3783514488218,1078.3785593037167,1079.3340516110384,11779819,1058.8073303222657,996.7457104492188,64.80583762044073,1061.1143666250584
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,1064.3209350585937,999.5858947753907,65.93820674759223,1064.2622706034754
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912,1069.9357849121093,1002.8556115722655,68.64642998212085,1068.228410382311
